,id,topic,newsOrTwit
287,5dbf714c11bb5a181c168062,,N
288,5dbf714c11bb5a181c168063,,N
289,5dbf714c11bb5a181c168064,,N
290,5dbf714c11bb5a181c168065,,N
291,5dbf714c11bb5a181c168066,,N
292,5dbf714c11bb5a181c168067,,N
293,5dbf714c11bb5a181c168068,,N
294,5dbf714d11bb5a181c168069,,N
295,5dbf714d11bb5a181c16806a,,N
296,5dbf714d11bb5a181c16806b,,N
297,5dbf714d11bb5a181c16806c,,N
298,5dbf714d11bb5a181c16806d,,N
299,5dbf714d11bb5a181c16806e,,N
300,5dbf714d11bb5a181c16806f,,N
301,5dbf714d11bb5a181c168070,,N
302,5dbf714d11bb5a181c168071,,N
303,5dbf714d11bb5a181c168072,,N
304,5dbf714d11bb5a181c168073,,N
305,5dbf714d11bb5a181c168074,,N
306,5dbf714d11bb5a181c168075,,N
307,5dbf714d11bb5a181c168076,,N
308,5dbf714d11bb5a181c168077,,N
309,5dbf714d11bb5a181c168078,,N
310,5dbf714d11bb5a181c168079,,N
311,5dbf714d11bb5a181c16807a,,N
312,5dbf714d11bb5a181c16807b,,N
313,5dbf714d11bb5a181c16807c,,N
314,5dbf714d11bb5a181c16807d,,N
315,5dbf714e11bb5a181c16807e,,N
316,5dbf714e11bb5a181c16807f,,N
317,5dbf714e11bb5a181c168080,,N
318,5dbf714e11bb5a181c168081,,N
319,5dbf714e11bb5a181c168082,,N
320,5dbf714e11bb5a181c168083,,N
321,5dbf714e11bb5a181c168084,,N
322,5dbf714e11bb5a181c168085,,N
323,5dbf714e11bb5a181c168086,,N
324,5dbf714e11bb5a181c168087,,N
325,5dbf714e11bb5a181c168088,,N
326,5dbf714e11bb5a181c168089,,N
327,5dbf714e11bb5a181c16808a,,N
328,5dbf714e11bb5a181c16808b,,N
329,5dbf714e11bb5a181c16808c,,N
330,5dbf714e11bb5a181c16808d,,N
331,5dbf714e11bb5a181c16808e,,N
332,5dbf714e11bb5a181c16808f,,N
333,5dbf714e11bb5a181c168090,,N
334,5dbf714e11bb5a181c168091,,N
335,5dbf714f11bb5a181c168092,,N
336,5dbf714f11bb5a181c168093,,N
337,5dbf714f11bb5a181c168094,,N
338,5dbf714f11bb5a181c168095,,N
339,5dbf714f11bb5a181c168096,,N
340,5dbf714f11bb5a181c168097,,N
341,5dbf714f11bb5a181c168098,,N
342,5dbf714f11bb5a181c168099,,N
343,5dbf714f11bb5a181c16809a,,N
344,5dbf714f11bb5a181c16809b,,N
345,5dbf714f11bb5a181c16809c,,N
346,5dbf714f11bb5a181c16809d,,N
